Item #,Quantity On Hand,Item,Item Description,Color,Size,Team,Division Logo,Date of Last Use,Category,Image,,
CUP1810,592,NOTEBOOK,"5" X 7": FEDEXCUP: FLORENTINE LEATHER""" X 7": FEDEXCUP: FLORENTINE LEATHE"" X 7": FEDEXCUP: FLORENTINE LEATHE""X 7": FEDEXCUP: FLORENTINE LE"" 7": FEDEXCUP: FLORENTINE""7": FEDEXCUP: FLORENTI""": FEDEXCUP: FLORENT"": FEDEXCUP: FLORENT",,"5" X 7"""" X 7"" X 7",,,9/22/16,Miscellaneous,Untitled_files/fullsize/377.jpg,,
CUP1821,7,POLO,GRAY: CRAZY BRAND: FESJC LOGO: SM,,SM,,,1/20/12,Donations,,,
CUP1822,9,POLO,GRAY: CRAZY BRAND: FESJC LOGO: M,,M,,,1/29/14,Donations,,,
CUP1823,19,POLO,GRAY: CRAZY BRAND: FESJC LOGO: LG,,LG,,,1/20/12,Donations,,,
CUP1824,11,POLO,GRAY: CRAZY BRAND: FESJC LOGO: XL,,XL,,,6/10/14,Donations,,,
CUP1861,6,APRON,BLACK: FEDEXCUP,BLACK,,,,5/16/16,Hospitality Supplies,Untitled_files/fullsize/064.jpg,,
CUP1862,"49,480",CUP,17 OZ PURPLE WITH WHITE FEDEXCUP,17 OZ,PURPLE,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/024b.jpg,,
CUP1873,2,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: VIBRANT BLUE: FEDEXCUP: LG,VIBRANT BLUE,LG,,,9/9/16,Donations,,,
CUP1874,3,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: VIBRANT BLUE: FEDEXCUP: XL,VIBRANT BLUE,XL,,,7/18/13,Donations,,,
CUP1881,3,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: BLACK: FEDEXCUP: SM,BLACK,SM,,,7/10/13,Donations,,,
CUP1884,2,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: BLACK: FEDEXCUP: XL,BLACK,XL,,,7/18/13,Donations,,,
CUP1890,1,BAG,OGIO TERMINAL: BLACK,BLACK,,,,7/10/13,Staff Apparel,Untitled_files/fullsize/327.jpg,,
CUP1892,14,SHOE BAG,LEATHER: FEDEXCUP,, ,,,9/4/13,Donations,Untitled_files/fullsize/428.jpg,,
CUP1893,1,PAINTING,JASON DAY,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/275.jpg,,
CUP1894,1,PAINTING,LUKE DONALD,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/276.jpg,,
CUP1895,1,PAINTING,RICKIE FOWLER,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/277.jpg,,
CUP1896,1,PAINTING,JIM FURYK,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/278.jpg,,
CUP1897,1,PAINTING,BILL HAAS,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/279.jpg,,
CUP1898,1,PAINTING,CHARLEY HOFFMAN,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/280.jpg,,
CUP1899,1,PAINTING,DUSTIN JOHNSON,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/281.jpg,,
CUP1900,1,PAINTING,HUNTER MAHAN,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/282.jpg,,
CUP1901,1,PAINTING,ADAM SCOTT,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/283.jpg,,
CUP1902,1,PAINTING,WEBB SIMPSON,," 24" X 36"""24" X ""4" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/284.jpg,,
CUP1903,1,PAINTING,JASON DAY,," 48" X 72"""48" X ""8" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/285.jpg,,
CUP1904,1,PAINTING,RICKIE FOWLER,," 48" X 72"""48" X ""8" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/286.jpg,,
CUP1905,1,PAINTING,BILL HAAS,," 48" X 72"""48" X ""8" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/287.jpg,,
CUP1906,1,PAINTING,DUSTIN JOHNSON,," 48" X 72"""48" X ""8" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/288.jpg,,
CUP1907,5,PHOTO OF PAINTING,JASON DAY,," 18" X  24"""18" X  ""8" X""" "" ",,,10/20/16,Miscellaneous,Untitled_files/fullsize/291.jpg,,
CUP1909,5,PHOTO OF PAINTING,RICKIE FOWLER,," 18" X 24"""18" X ""8" """""",,,10/20/16,Miscellaneous,Untitled_files/fullsize/293.jpg,,
CUP1914,1,PHOTO OF PAINTING,HUNTER MAHAN,," 18" X 24" ""18" X 2""8" X""" "" ",,,10/20/16,Miscellaneous,Untitled_files/fullsize/298.jpg,,
CUP1916,5,PHOTO OF PAINTING,WEBB SIMPSON,," 18" X 24" ""18" X 2""8" X""" "" ",,,6/5/12,Miscellaneous,Untitled_files/fullsize/300.jpg,,
CUP1917,1,PHOTO OF PAINTING,RICKIE FOWLER,," 48" X 72"""48" X ""8" """""",,,3/13/12,Miscellaneous,Untitled_files/fullsize/289.jpg,,
CUP1919,75,WATER BOTTLE,FESJC,,,,,2/29/16,FESJC,Untitled_files/fullsize/356.jpg,,
CUP1921,7,WINE CHARMS,BOXED SET OF 4; BOX AND ITEMS LOGO'D WITH FEDEX,,SET OF 4,,,9/27/13,Donations,Untitled_files/fullsize/424.jpg,,
CUP1922,2,SIGN,"2-SIDED DIRENCTIONAL; WHITE & GRAY FEDEX LOGO, SIGN PURPLE, ARROWS WHITE",,,,,5/16/16,Signage,Untitled_files/fullsize/240.jpg,,
CUP1924,6,NAPKIN HOLDER,"WHITE, PURPLE FEDEXCUP LOGO",WHITE,,,,5/23/16,Hospitality Supplies,Untitled_files/fullsize/872.jpg,,
CUP1925,1,PILLOW,"WHITE SATIN, PURPLE & GRAY FEDEX LOGO",WHITE SATIN,,,,5/23/16,Miscellaneous,Untitled_files/fullsize/245.jpg,,
CUP1953,15,NAPKIN,DINNER; FESJC,WHITE,PACK OF 50,,,6/25/15,Miscellaneous,,,
CUP1956,3,PELICAN,FOR FEDEXCUP SHIPPING,,,,,10/11/13,Miscellaneous,Untitled_files/fullsize/317.jpg,,
CUP1957,191,NAPKIN,BEVERAGE; FEDEXCUP (PURPLE),,PACK OF 250,,,6/28/16,Hospitality Supplies,Untitled_files/fullsize/152.jpg,,
CUP1958,87,NAPKIN,DINNER; FEDEXCUP (PURPLE),,PACK OF 200,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/323.jpg,,
CUP1959,411,NAME BADGE,"PURPLE W/MAGNET: FEDEXCUP: 1.5" X 3"""URPLE",PURPLE,"1.5" X 3""".5" X""5"""",,,2/8/16,Credentials,Untitled_files/fullsize/026.jpg,,
CUP1960,41,NAME BADGE,"WHITE W/MAGNET: FEDEXCUP: 1.5" X 3"""HITE ",WHITE,"1.5" X 3""".5" X""5"""",,,6/8/16,Credentials,Untitled_files/fullsize/027.jpg,,
CUP1961,"1,158",GUM,PROMO PACK: FEDEXCUP,,,,,8/24/16,Hospitality Supplies,Untitled_files/fullsize/153.jpg,,
CUP1962,405,ENVELOPE,# 10 STRING TIE: PURPLE,PURPLE,# 10,,,5/20/16,Credentials,,,
CUP1964,215,SEAT CUSHION,PURPLE: FEDEXCUP,PURPLE,,,,10/16/13,Hospitality Supplies,Untitled_files/fullsize/310.jpg,,
CUP1965,399,CUP,10 OZ FROSTED TUMBLER: TRANSLUCENT: NO LOGO,,10 OZ,,,2/8/16,Hospitality Supplies,Untitled_files/fullsize/249b.jpg,,
CUP1966,2,TRIPOD,BLACK COLLAPSIBLE,BLACK,,,,11/18/15,Hospitality Supplies,Untitled_files/fullsize/250.jpg,,
CUP1967,3,FRAME,"9.5" X 7.5""".5" X 7""5" X""" "" ",,"9.5" X 7.5""".5" X 7""5" X""" "" ",,,6/28/12,Hospitality Supplies,Untitled_files/fullsize/251.jpg,,
CUP1968,3,IPAD COVERS/LOCKS,,,,,,7/3/12,Hospitality Supplies,Untitled_files/fullsize/248.jpg,,
CUP1969,20,TERVIS TUMBLER,24 OZ; MUIRFIELD VILLAGE GOLF CLUB,,,,,10/4/12,Miscellaneous,Untitled_files/fullsize/429.jpg,,
CUP1970,10,HAT,AHEAD; SANDWICH,NAVY/KHAKI ,,,,10/4/12,Donations,Untitled_files/fullsize/389.jpg,,
CUP1971,12,HAT,AHEAD; SANDWICH; THE PRESIDENTS CUP,TAUPE/KHAKI ,,,,10/4/12,Donations,Untitled_files/fullsize/390.jpg,,
CUP1973,203,CAP,WHITE/BLACK;  NIKE GOLF STAY COOL;  FESJC ON FRONT,WHITE/BLACK,,,,6/3/16,FESJC,Untitled_files/fullsize/350.jpg,,
CUP1975,625,AUTOGRAPH CARDS,"7" X 5 1/4" FEDEXCUP WITH TROPHY""" X 5 1/4" FEDEXCUP WITH TROPH"" X 5 1/4" FEDEXCUP WITH TROPH""X 5 1/4" FEDEXCUP WI"" 5 1/4" FEDE""5 1/4",,,,,8/23/16,Hospitality Supplies,Untitled_files/fullsize/365.jpg,,
CUP1976,1,SIGNAGE,PGA/FEDEXCUP;  WELCOME FEDEX GUESTS,BLACK,2' X 3',,,11/18/15,Signage,Untitled_files/fullsize/232.jpg,,
CUP1977,1,SIGNAGE,PGA/FEDEXCUP;  PRIVATE FUNCTION,BLACK,2' X 3',,,10/9/15,Signage,Untitled_files/fullsize/233.jpg,,
CUP1978,4,SIGNAGE,PGA/FEDEXCUP;  DIRECTION WITH VELCRO ARROWS,BLACK,2' X 3',,,11/18/15,Signage,Untitled_files/fullsize/234.jpg,,
CUP1979,1,SIGNAGE,PGA/FEDEXCUP;  FEDEX SALUTES SMALL BUSINESS,BLACK,2' X 3',,,10/11/13,Signage,Untitled_files/fullsize/235.jpg,,
CUP1990,1,SIGNAGE,PGA/FEDEXCUP;  HOSPITALITY SUITE,BLACK,2' X 3',,,11/18/15,Signage,Untitled_files/fullsize/236.jpg,,
CUP1993,1,GOLF BAG,IJP DESIGN;  BLUE PLAID (NO LOGO),BLUE PLAID,,,,11/19/12,Miscellaneous,Untitled_files/fullsize/326.jpg,,
CUP1994,57,LUGGAGE TAG,PURPLE; WHITE & PLATINUM FEDEX LOGO,PURPLE,,,,7/11/13,Donations,Untitled_files/fullsize/423.jpg,,
CUP1995,1,SIGNAGE,BLACK 8 X 11 3/4 - CHECK IN,BLACK,8 X 11 3/4,,,9/25/14,Signage,Untitled_files/fullsize/321.jpg,,
CUP1996,3,NAME TAG,FEDEX CUP; WHITE BACKGROUND: DON COLLERAN,WHITE BACKGROUND,,,,9/15/15,Miscellaneous,Untitled_files/fullsize/230.jpg,,
CUP1997,4,NAME TAG,FEDEX CUP; WHITE BACKGROUND; DAN MULLALLY,WHITE BACKGROUND,,,,9/15/15,Miscellaneous,Untitled_files/fullsize/231.jpg,,
CUP2011,3,JACKET,BLACK W/DOTS; NIKE GOLF; PEBBLE BEACH LOGO L/C - FEDEX BACK YOKE,BLACK W/DOTS,SM,,,9/9/16,Donations,,,
CUP2012,1,JACKET,BLACK W/DOTS; NIKE GOLF; PEBBLE BEACH LOGO L/C - FEDEX BACK YOKE,BLACK W/DOTS,MD,,,11/19/12,Donations,,,
CUP2013,279,LIP BALM,FEDEX CUP; NATURAL FLAVOR,,,,,10/9/15,Hospitality Supplies,Untitled_files/fullsize/028.jpg,,
CUP2015,768,BINOCULARS,PURPLE BODY/GREEN ACCENTS,PURPLE/GREEN,,,,6/23/14,Miscellaneous,Untitled_files/fullsize/331.jpg,,
CUP2030,11,APRON,BLACK: PGA/FEDEXCUP PLAYOFFS,BLACK,,,,10/9/15,Hospitality Supplies,Untitled_files/fullsize/351.jpg,,
CUP2031,110,CUP,WHITE: 16 OZ.: FESJC LOGO,WHITE,,,,6/25/15,FESJC,Untitled_files/fullsize/360.jpg,,
CUP2036,264,WINE GLASS,GOVINO STEMLESS: FEDEXCUP LOGO,,,,,6/28/16,Hospitality Supplies,Untitled_files/fullsize/341.jpg,,
CUP2041,2,POLO,SPORT TEK: OASIS GREEN: FESJC LOGO: SM,OASIS GREEN,SM,,,7/5/13,FESJC,,,
CUP2044,2,POLO,SPORT TEK: OASIS GREEN: FESJC LOGO: XL,OASIS GREEN,XL,,,2/8/16,FESJC,,,
CUP2045,3,POLO,SPORT TEK: OASIS GREEN: FESJC LOGO: 2X,OASIS GREEN,2X,,,7/5/13,FESJC,,,
CUP2051,6,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: SM,OASIS GREEN,SM,,,6/11/15,FESJC,,,
CUP2052,4,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: MD,OASIS GREEN,MD,,,6/12/15,FESJC,,,
CUP2053,12,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: LG,OASIS GREEN,LG,,,2/8/16,FESJC,,,
CUP2054,2,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: XL,OASIS GREEN,XL,,,6/25/15,FESJC,,,
CUP2055,3,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: 2X,OASIS GREEN,2X,,,7/5/13,FESJC,,,
CUP2060,1,KEY,FOR TROPHY CUP1313,,,,,10/31/16,Miscellaneous,Untitled_files/fullsize/368a.jpg,,
CUP2061,1,KEY,FOR TROPHY BASE CUP1314,,,,,10/31/16,Miscellaneous,Untitled_files/fullsize/369.jpg,,
CUP2062,55,PIN FLAG,2013 PGA/FEDEXCUP PLAYOFFS,,,,,5/1/14,Hospitality Supplies,Untitled_files/fullsize/352.jpg,,
CUP2063,"6,500",CUP,16 OZ PURPLE : FEDEX IN SILVER,PURPLE,16 OZ,,,6/9/16,Hospitality Supplies,Untitled_files/fullsize/577a.jpg,,
CUP2064,52,NAPKIN,BEVERAGE: FEDEX IN PURPLE : PK OF 50,,PK OF 50,,,10/26/16,Hospitality Supplies,Untitled_files/fullsize/578a.jpg,,
CUP2066,"7,654",CUP,16 OZ WHITE : FEDEXCUP PLAYOFFS LOGO,WHITE,16 OZ.,,,10/6/16,Hospitality Supplies,Untitled_files/fullsize/025a.jpg,,
CUP2067,,NAPKIN,BEVERAGE: FEDEXCUP PLAYOFF LOGO : PK OF 50,,PK OF 50,,,10/6/16,Hospitality Supplies,Untitled_files/fullsize/575a.jpg,,
CUP2068,24,NAPKIN,DINNER: FEDEXCUP PLAYOFF LOGO: PK OF 25,,PK OF 25,,,10/6/16,Hospitality Supplies,Untitled_files/fullsize/576a.jpg,,
CUP2070,383,AUTOGRAPH CARDS,2013 FEDEXCUP PLAYOFFS,,,,,2/8/16,Hospitality Supplies,Untitled_files/fullsize/372.jpg,,
CUP2071,3,HAT,WHITE/BLACK: FITTED STRETCH: PGA/FEDEXCUP,WHITE/BLACK,,,,12/13/13,Iconic,,,
CUP2072,3,GOLF TRAVEL BAG,OGIO STRAIGHT JACKET: BLACK: FEDEX,BLACK,,,,5/13/14,Iconic,,,
CUP2075,2,GOLF BALLS,TITLEIST PROV1: DOZEN: FEDEX,,DOZEN,,,12/13/13,Iconic,,,
CUP2076,2,GOLF BAG,BLACK/GRAY: NIKE PERFORMANCE HYBRID:,BLACK/GRAY,,,,5/13/14,Iconic,,,
CUP2077,19,UMBRELLA,BLACK: NIKE WINDSHEER HYBRID,BLACK,,,,5/13/14,Iconic,,,
CUP2078,128,LOCK,COMBO: WHITE: FEDEX FREIGHT,WHITE,,,,10/11/13,Iconic,,,
CUP2079,"2,214",CARD,"FEDEX FREIGHT INFO: 5" X 11"""EDEX F",,"5" X 11"""" X 11"" X 11",,,9/11/13,Iconic,,,
CUP2080,142,LOCK,BLACK: COMBO: FEDEX FREIGHT,BLACK,,,,10/11/13,Iconic,,,
CUP2081,59,PIN FLAG,FEDEXCUP,,,,,4/28/16,Hospitality Supplies,Untitled_files/fullsize/564a.jpg,,
CUP2084,21,LANYARD,"NAVY: 3/8": PGA TOUR""AVY: 3/8":""V",NAVY,"3/8"""",,,10/11/13,Credentials,Untitled_files/fullsize/543.jpg,,
CUP2095,2,POLO,NIKE GOLF: WHITE: FEDEXCUP PLAYOFFS RIGHT CHEST; 2XL,WHITE,2XL,,,10/11/13,Staff Apparel,,,
CUP2115,1,VEST,NIKE GOLF: CHARCOAL: PEBBLE BEACH/FEDEX: 2XL,CHARCOAL,2XL,,,10/24/13,Donations,,,
CUP2141,2,BLANKET,SHERPA: CAMEL: PEBBLE BEACH,CAMEL,,,,9/22/16,Miscellaneous,Untitled_files/fullsize/592.jpg,,
CUP2142,56,WINE SKIN,CLEAR : FEDEX,,,,,10/13/14,Miscellaneous,Untitled_files/fullsize/591.jpg,,
CUP2143,2,SIGNAGE,"FEDEX INVITATIONAL AT PEBBLE BEACH: CLOSEST TO THE PIN: 18" X 24"""EDEX I",,"18" X 24"""8" X 2""" X "" X ",,,10/31/16,Miscellaneous,Untitled_files/fullsize/590.jpg,,
CUP2144,1,SIGNAGE,"FEDEX INVITATIONAL AT PEBBLE BEACH: HOLE IN ONE: 18" X 24"""EDEX I",,"18" X 24"""8" X 2""" X "" X ",,,4/17/15,Miscellaneous,Untitled_files/fullsize/589.jpg,,
CUP2145,697,DUFFEL,OGIO: FEDEXCUP,WHITE,,,,9/22/16,Premium Give-aways,Untitled_files/fullsize/921.jpg,,
CUP2160,1,FRAMED IMAGES,"MISC, 19" X 23", BLACK METAL FRAME""ISC, 19" X 23", BLACK MET""SC, 19" X 23", BL""C, 19" X 2"", 19",BLACK,"19" X 23"""9" X 2""" X "" X ",,,1/14/14,Hospitality Supplies,Untitled_files/fullsize/990.jpg,,
CUP2161,3,FRAMES,"23" X 31", BROWN WOODEN""3" X 31", BROWN WOOD""" X 31", BROWN WOO"" X 31", BROWN WOO""X 31", BROW"" 31", ""31",BROWN,"23" X 31"""3" X 3""" X "" X ",,,1/14/14,Hospitality Supplies,Untitled_files/fullsize/987.jpg,,
CUP2162,2,FRAMES,"19" X 23", BLACK METAL""9" X 23", BLACK MET""" X 23", BLACK ME"" X 23", BLACK ME""X 23", BLA"" 23",""2",BLACK,"19" X 23"""9" X 2""" X "" X ",,,1/14/14,Hospitality Supplies,Untitled_files/fullsize/988.jpg,,
CUP2163,1,FRAME,"20 1/2" X 28 1/2", SILVER METAL""0 1/2" X 28 1/2", SILVER"" 1/2" X 28 1/2", S""1/2" X 28 1/2""/2" X 28 ""2" X 2""" X "" X ",SILVER,"20 1/2" X 28 1/2"""0 1/2" X 2"" 1/2",,,1/14/14,Hospitality Supplies,Untitled_files/fullsize/989.jpg,,
CUP2171,1,JACKET,"BLACK ZR, FEDEXCUP, SM",BLACK,SM,,,2/5/14,Staff Apparel,,,
CUP2172,4,JACKET,"BLACK ZR, FEDEXCUP, MD",BLACK,MD,,,2/5/14,Staff Apparel,,,
CUP2173,5,JACKET,"BLACK ZR, FEDEXCUP, LG",BLACK,LG,,,2/10/14,Staff Apparel,,,
CUP2174,3,JACKET,"BLACK ZR, FEDEXCUP, XL",BLACK,XL,,,1/14/15,Staff Apparel,,,
CUP2175,2,JACKET,"BLACK ZR, FEDEXCUP, 2X",BLACK,2X,,,2/5/14,Staff Apparel,,,
CUP2182,248,WATER BOTTLE,"TERVIS TUMBLER, GOLF BALL WRAP/FEDEXCUP, 24 OZ",,24 OZ,,,10/14/16,FESJC,Untitled_files/fullsize/310a.jpg,,
CUP2183,1,KEURIG COFFEE SYSTEM,AND ACCESSORIES,,,,,4/19/16,Hospitality Supplies,Untitled_files/fullsize/311a.jpg,,
CUP2184,787,SCREEN CLEANER,"DIGICLEAN XTRA, FEDEXCUP ON THANK YOU CARD",,,,,7/29/15,FESJC,Untitled_files/fullsize/312c.jpg,,
CUP2185,1,MANNEQUINS,"FOR USE AT EVENTS, BOX INCLUDES 3",BOX INCLUDES 2,,,,7/18/14,Miscellaneous,Untitled_files/fullsize/338.jpg,,
CUP2186,,NAME BADGE,"1 3/4" X 3 1/8", WHITE, FEDEXCUP"" 3/4" X 3 1/8", WHITE, FED""3/4" X 3 1/8", WHITE,""/4" X 3 1/8", WHI""4" X 3 1/8", W""" X 3 1/8", "" X 3 1/8", ""X ",WHITE,"1 3/4" X 3 1/8""" 3/4" X 3""3/4"""",,,10/6/16,Credentials,Untitled_files/fullsize/355.jpg,,
CUP2187,,NAME BADGE,"1 3/4" X 3 1/8", TAN, FEDEXCUP"" 3/4" X 3 1/8", TAN, FED""3/4" X 3 1/8", TAN,""/4" X 3 1/8", T""4" X 3 1/8",""" X 3 1/8""" X 3 1/8"""",TAN,"1 3/4" X 3 1/8""" 3/4" X 3""3/4"""",,,10/6/16,Credentials,Untitled_files/fullsize/356.jpg,,
CUP2188,19,NAME BADGE,"1 3/4" X 3 1/8", TAN, FEDEXCUP HOST"" 3/4" X 3 1/8", TAN, FEDEXCUP""3/4" X 3 1/8", TAN, FEDE""/4" X 3 1/8", TAN, F""4" X 3 1/8", TAN,""" X 3 1/8", TAN"" X 3 1/8", TAN""X 3 1",TAN,"1 3/4" X 3 1/8""" 3/4" X 3""3/4"""",,,10/6/16,Credentials,Untitled_files/fullsize/357.jpg,,
CUP2189,1,SHIPPING CASE,BLACK,BLACK,,,,9/5/14,Miscellaneous,Untitled_files/fullsize/354.jpg,,
CUP2190,47,GOLF BALLS,"PROV1, FEDEXCUP PLAYOFFS, DOZEN",,DOZEN,,,11/14/16,Golf Balls,Untitled_files/fullsize/353.jpg,,
CUP2191,31,PIN FLAG,FEDEXCUP PLAYOFFS 2014,,,,,9/25/14,Hospitality Supplies,Untitled_files/fullsize/376b.jpg,,
CUP2192,12,PIN FLAG,FEDEXCUP PLAYOFFS,,,,,12/20/16,Hospitality Supplies,Untitled_files/fullsize/377b.jpg,,
CUP2193,905,BAG,"PLASTIC, 12 X 12 X 6",,12 X 12 X 6,,,10/31/16,Hospitality Supplies,Untitled_files/fullsize/396.jpg,,
CUP2194,916,CINCHBAG,"BLACK/WHITE, FEDEXCUP",BLACK/WHITE,,,,10/5/16,Hospitality Supplies,Untitled_files/fullsize/358.jpg,,
CUP2197,17,GUM PACK,"FEDEXCUP, TROPHY ICON",,,,,3/17/16,Hospitality Supplies,Untitled_files/fullsize/361.jpg,,
CUP2198,225,HAND SANITIZER,"1 OZ SPRAY, FEDEXCUP",,1 OZ,,,10/9/15,Hospitality Supplies,Untitled_files/fullsize/362.jpg,,
CUP2200,104,GIFT BAG,"BLACK, FEDEXCUP PLAYOFFS, 10 X 13",BLACK,10 X 13,,,10/9/15,Hospitality Supplies,Untitled_files/fullsize/364.jpg,,
CUP2202,"12,555",SUNSCREEN,1 OZ FEDEXCUP,,1 OZ,,,8/24/16,Hospitality Supplies,Untitled_files/fullsize/368.jpg,,
CUP2203,16,GOODIE BAG,"BLACK: BLACK HAT, SUNSCREEN, LIP BALM, GUM, SHARPIE, AND SANITIZER",,,,,8/9/16,Miscellaneous,Untitled_files/fullsize/371.jpg,,
CUP2204,2,FIRST AID KIT,SMALL,,,,,10/16/14,Miscellaneous,Untitled_files/fullsize/374.jpg,,
CUP2206,37,BOOK,BEYOND THE FAIRWAYS AND GREENS,,,,,11/20/14,Miscellaneous,Untitled_files/fullsize/395.jpg,,
CUP2210,8,JACKET,"LADIES SUNICE, WHITE, PEBBLE BEACH, XS",WHITE,XS,,,11/20/14,Miscellaneous,,,
CUP2211,5,JACKET,"LADIES SUNICE, WHITE, PEBBLE BEACH, SM",WHITE,SM,,,11/20/14,Miscellaneous,,,
CUP2221,1,PULLOVER,"SUNICE, NAVY, PEBBLE BEACH, SM",NAVY,SM,,,11/20/14,Miscellaneous,,,
CUP2222,2,PULLOVER,"SUNICE, NAVY, PEBBLE BEACH, MD",NAVY,MD,,,11/20/14,Miscellaneous,,,
CUP2223,3,PULLOVER,"SUNICE, NAVY, PEBBLE BEACH, LG",NAVY,LG,,,11/20/14,Miscellaneous,,,
CUP2224,5,PULLOVER,"SUNICE, NAVY, PEBBLE BEACH, XL",NAVY,XL,,,5/31/16,Miscellaneous,,,
CUP2231,6,POLO,"LADIES ABACUS, WHITE, RYDER CUP 2014, l/C FEDEX ON SLEEVE, SM",WHITE,SM,,,12/2/14,Miscellaneous,Untitled_files/fullsize/416.jpg,,
CUP2241,12,POLO,"ABACUS NAVY, RYDER CUP 2014,  l/C FEDEX ON SLEEVE, SM",NAVY,SM,,,12/2/14,Miscellaneous,,,
CUP2242,12,POLO,"ABACUS NAVY, RYDER CUP 2014,  l/C FEDEX ON SLEEVE, MD",NAVY,MD,,,12/2/14,Miscellaneous,,,
CUP2243,11,POLO,"ABACUS NAVY, RYDER CUP 2014,  l/C FEDEX ON SLEEVE, LG",NAVY,LG,,,12/2/14,Miscellaneous,,,
CUP2251,8,JACKET,"ABACUS NAVY FULL-ZIP, RYDER CUP 2014,  l/C FEDEX ON SLEEVE, SM",NAVY,SM,,,12/2/14,Miscellaneous,,,
CUP2252,5,JACKET,"ABACUS NAVY FULL-ZIP, RYDER CUP 2014,  l/C FEDEX ON SLEEVE, MD",NAVY,MD,,,5/31/16,Miscellaneous,,,
CUP2253,7,JACKET,"ABACUS NAVY FULL-ZIP, RYDER CUP 2014,  l/C FEDEX ON SLEEVE, LG",NAVY,LG,,,12/2/14,Miscellaneous,,,
CUP2261,4,JACKET,"LADIES ABACUS NAVY FULL-ZIP, RYDER CUP 2014, l/C FEDEX ON SLEEVE, SM",NAVY,SM,,,12/2/14,Miscellaneous,,,
CUP2262,3,JACKET,"LADIES ABACUS NAVY FULL-ZIP, RYDER CUP 2014, l/C FEDEX ON SLEEVE, MD",NAVY,MD,,,12/2/14,Miscellaneous,,,
CUP2263,1,JACKET,"LADIES ABACUS NAVY FULL-ZIP, RYDER CUP 2014, l/C FEDEX ON SLEEVE, LG",NAVY,LG,,,12/2/14,Miscellaneous,,,
CUP2271,2,PIN FLAG,"RYDER CUP 2014, AUTOGRAPHED (PATRICK REED, MATT KUCHAR, JUSTIN ROSE, MARTIN KAYMER, SERGIO GARCIA, HENRIK STENSON)",,,,,2/18/16,Miscellaneous,Untitled_files/fullsize/411.jpg,,
CUP2272,2,PIN FLAG,RYDER CUP 2014,,,,,12/2/14,Miscellaneous,Untitled_files/fullsize/412.jpg,,
CUP2273,3,CRYSTAL GLASSES,"RYDER CUP 2014, GLEN CAIRN, SET OF 2",,SET OF 2,,,10/20/16,Miscellaneous,Untitled_files/fullsize/406.jpg,,
CUP2274,1,LUGGAGE,"VICTORINOX CARRY ON SPECTRA DUAL CAPACITY, RED",RED,,,,12/2/14,Staff Apparel,Untitled_files/fullsize/420.jpg,,
CUP2275,"5,400",WRISTBAND,"3/4" RED TYVEK, FEDEX""/4" RED TYVEK, FE""4" RED TYVEK, """ RED TYVEK,"" RED TYVEK,",RED,"3/4"""",,,5/27/16,Hospitality Supplies,Untitled_files/fullsize/931.jpg,,
CUP2276,161,UMBRELLA,"SUNDEFYER, NAVY, FESJC LOGO",NAVY,,,,6/28/16,FESJC,Untitled_files/fullsize/935.jpg,,
CUP2277,940,WRISTBAND,"CLOTH, BLUE, FEDEXCUP",BLUE,,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/954.jpg,,
CUP2278,9,NAPKINS,"BEVERAGE, PK OF 50, "YOU CAN COUNT ON US"""EVERAGE, PK OF 50, """",,PK OF 50,,,6/3/16,Hospitality Supplies,Untitled_files/fullsize/936.jpg,,
